Repository URL,Star Count,Algorithm
https://github.com/mindsdb/lightwood,387,pyod
https://github.com/catboost/catboost,7501,pyod
https://github.com/sktime/sktime,7083,pyod
https://github.com/unit8co/darts,6769,pyod
https://github.com/yzhao062/pyod,7675,pyod
https://github.com/Minqi824/ADBench,701,pyod
https://github.com/onnx/sklearn-onnx,482,pyod
https://github.com/pycaret/pycaret,8016,pyod
https://github.com/datamllab/tods,1194,pyod
https://github.com/autogluon/autogluon,6560,pyod
https://github.com/pyodide/pyodide,10794,pyod
https://github.com/JetBrains/intellij-community,16099,pyod
https://github.com/kovidgoyal/calibre,17255,pyod
https://github.com/holoviz/panel,3369,pyod
https://github.com/apache/superset,55768,pyod
https://github.com/scikit-learn/scikit-learn,56705,pyod
https://github.com/google/oss-fuzz,9238,pyod
https://github.com/sqlalchemy/sqlalchemy,8125,pyod
https://github.com/sqlmapproject/sqlmap,29311,pyod
https://github.com/mindsdb/mindsdb,19238,pyod
https://github.com/microsoft/sql-server-samples,9125,pyod
https://github.com/flet-dev/flet,7536,pyod
https://github.com/getredash/redash,24259,pyod
https://github.com/areed1192/sigma_coding_youtube,994,pyod
https://github.com/DataDog/dd-trace-py,453,pyod
https://github.com/igraph/python-igraph,1187,pyod
https://github.com/microsoft/mssql-docker,1614,pyod
https://github.com/Azure/azure-sdk-for-python,3945,pyod
https://github.com/spack/spack,3744,pyod
https://github.com/langchain-ai/langchain,71111,pyod
https://github.com/netdata/netdata,66293,pyod
https://github.com/n1nj4sec/pupy,7944,pyod
https://github.com/sympy/sympy,11630,pyod
https://github.com/vanderschaarlab/synthcity,268,pyod
https://github.com/hylang/hy,4676,pyod
https://github.com/web2py/web2py,2064,pyod
https://github.com/urllib3/urllib3,3543,pyod
https://github.com/projectacrn/acrn-hypervisor,1027,pyod
https://github.com/LiDan456/MAD-GANs,463,pyod
https://github.com/pyscript/pyscript,17188,pyod
https://github.com/ActiveState/code,1910,pyod
https://github.com/modin-project/modin,9184,pyod
https://github.com/OpenDroneMap/ODM,4407,pyod
https://github.com/viblo/pymunk,836,pyod
https://github.com/h2oai/wave,3756,pyod
https://github.com/tomasero/openSleep,420,pyod
https://github.com/yzhao062/combo,631,pyod
https://github.com/OpenDroneMap/WebODM,2450,pyod
https://github.com/sql-machine-learning/sqlflow,4957,pyod
https://github.com/apache/airflow,32719,pyod
https://github.com/beeware/toga,3950,pyod
https://github.com/sumatrapdfreader/sumatrapdf,11873,pyod
https://github.com/SummerSec/codeql-debug-test,0,pyod
https://github.com/saltstack/salt,13645,pyod
https://github.com/gristlabs/grist-core,5575,pyod
https://github.com/zilliztech/GPTCache,5742,pyod
https://github.com/aliyun/aliyun-odps-python-sdk,398,pyod
https://github.com/aws/aws-sdk-pandas,3678,pyod
https://github.com/krishnaik06/The-Grand-Complete-Data-Science-Materials,4215,pyod
https://github.com/gradio-app/gradio,24788,pyod
https://github.com/mkleehammer/pyodbc,2774,pyod
https://github.com/Kanaries/pygwalker,8140,pyod
https://github.com/streamlit/streamlit,29004,pyod
https://github.com/shap/shap,20732,pyod
https://github.com/libffi/libffi,2939,pyod
https://github.com/OpenBB-finance/OpenBBTerminal,25014,pyod
https://github.com/pymupdf/PyMuPDF,3312,pyod
https://github.com/pydantic/pydantic,16870,pyod
https://github.com/tortoise/tortoise-orm,3983,pyod
https://github.com/LIUHAO121/anomaly-gmm,0,pyod
https://github.com/ydb-platform/ydb,3158,pyod
https://github.com/ytsaurus/ytsaurus,1667,pyod
https://github.com/8bit-Dude/8bit-Unity,57,pyod
https://github.com/2lambda123/catboost,0,pyod
https://github.com/evanshlom/DSGPT,0,pyod
https://github.com/evanshlom/DsCodeGPT,0,pyod
https://github.com/sueszli/vector-database-benchmark,1,pyod
https://github.com/ropas/pytea,307,pyod
https://github.com/ktnrg45/cyright,15,pyod
https://github.com/2lambda123/intellij-community,0,pyod
https://github.com/SplootCode/structured-pyright,0,pyod
https://github.com/debian-calibre/calibre,441,pyod
https://github.com/elllusion/calibre,6,pyod
https://github.com/chiph-enterprise-cloud-testing/calibre-2,0,pyod
https://github.com/dropbox/incubator-superset-internal,11,pyod
https://github.com/RSanjeevi/supersets,0,pyod
https://github.com/SA-Ark/apache-superset-dev,0,pyod
https://github.com/mantai/superset,0,pyod
https://github.com/jlgarridol/sklearn-ubu,0,pyod
https://github.com/mgcorona/scikit-learn,0,pyod
https://github.com/ThrunGroup/sklearn_MAB,0,pyod
https://github.com/ScorpionBytes/scikit-LEARM,0,pyod
https://github.com/ep-infosec/50_google_oss-fuzz,0,pyod
https://github.com/CVEDB/oss-fuzz,0,pyod
https://github.com/HiragiChi/OSS-fuzz,0,pyod
https://github.com/2lambda123/oss-fuzz,0,pyod
https://github.com/zzzeek/sqlalchemy,3458,pyod
https://github.com/BugFor-Pings/CN_Sqlmap,44,pyod
https://github.com/nu11secur1ty/sqlmap-nu11secur1ty,7,pyod
https://github.com/THLiu55/system_test,0,pyod
https://github.com/2lambda123/sqlmap1,0,pyod
https://github.com/luping49030/https-github.com-microsoft-sql-server-samples,0,pyod
https://github.com/josephhammer317/sql-server-sample,0,pyod
https://github.com/2lambda123/sql-server-samples,0,pyod
https://github.com/bkgrover71/sigma_coding_clone,2,pyod
https://github.com/demo-redhat-forum-2018/mssql-docker,0,pyod
https://github.com/emilefraser/PyroDocker,0,pyod
https://github.com/dkatz23238/python-3.5-microsoft-SQL-server,0,pyod
https://github.com/plantusd/ss-rampup-task,0,pyod
https://github.com/lezzidan/spack,0,pyod
https://github.com/WAAutoMaton/spack,0,pyod
https://github.com/Abhicoder983/CHATBOT,0,pyod
https://github.com/cibi34/chatbot,0,pyod
https://github.com/deepin-community/netdata,0,pyod
https://github.com/2lambda123/netdata,0,pyod
https://github.com/ps-interactive/labs_rtt_pupy_c2,0,pyod
https://github.com/evanatherton/jotun_bifrost_utils,6,pyod
https://github.com/Leelaprasad001/Recruiter-AI,2,pyod
https://github.com/KOLLINIKHILKUMAR/RECRUITER-AI-AN-ADVANCED-REAL-TIME-JOB-RECOMMENDER,0,pyod
https://github.com/ZeynepDuvarci/text-summarizer,0,pyod
https://github.com/sailfishos-mirror/urllib3,0,pyod
https://github.com/yalvactop/anomaly_detection_in_indestrial_control_systems,2,pyod
https://github.com/parmarjh/code,0,pyod
https://github.com/JohannesBuchner/pystrict3,1,pyod
https://github.com/rudrakshkapil/Integrated-RGB-Thermal-Orthomosaicing,3,pyod
https://github.com/anup39/WebODM-b3d,2,pyod
https://github.com/shyuni2/Skill,0,pyod
https://github.com/openSUSE/salt,20,pyod
https://github.com/adityamillind98/salt,0,pyod
https://github.com/DevOpsJen/DevopsTool-salt,0,pyod
https://github.com/Mag1cznyWojtek/test,0,pyod
https://github.com/Anyel-ec/CRUD-Flask-With-SQLServer,0,pyod
https://github.com/BeJakub/Web-App-AdventureWorks,0,pyod
https://github.com/alexalbuquerque87/python_FastAPI,0,pyod
https://github.com/mariam-diab/django-rest-ticket-reservation,0,pyod
https://github.com/aayushsoni4/Movie-Recommendation-System,3,pyod
https://github.com/yoshinory/dashboard_streamlit_plotly,0,pyod
https://github.com/Pawan2oo1/ImageTransformation,0,pyod
https://github.com/sailfishos-mirror/libffi,0,pyod
https://github.com/nicozanf/web2py-pyinstaller,6,pyod
https://github.com/RunestoneInteractive/rs,13,pyod
https://github.com/pection-zz/Allproject,2,pyod
https://github.com/fztrevisan/rest-api-web2py,0,pyod
https://github.com/FighterSoul/personalChatBot,0,pyod
https://github.com/kpister/prompt-linter,3,pyod
https://github.com/daniloopinheiro/RepositorioSQLAzureData,0,pyod
https://github.com/HumbertoDiego/w2p-processos-requisitorios,5,pyod
https://github.com/alexandn/web2py,0,pyod
https://github.com/airwick989/Autonomous-Vehicle-Simulation-and-Testing-Bench,2,pyod
https://github.com/eGkritsis/ML-Network-Intrusion-Detection-System,0,pyod
https://github.com/Jjineeq/Productive_System_Public,0,pyod
https://github.com/orgTestCodacy11KRepos110MB/repo-3136-pyod,0,pyod
https://github.com/RadicalIguana/EraseBorderBot,1,pyod
https://github.com/Abhi6722/Python-CRUD-FASTAPI,0,pyod
https://github.com/Mayowa-Ak/e_commerce_api,0,pyod
https://github.com/okaditya84/MedGenie,0,pyod
https://github.com/loverwhy/tods,0,pyod
https://github.com/JayamangalaH/TODSAPI,0,pyod
https://github.com/ParthLa/Causal-Intervention-on-Time-Series,0,pyod
https://github.com/lovelynewlife/sklearn-onnx,0,pyod
https://github.com/xuhongzuo/DeepOD,178,pyod
https://github.com/yzhao062/SUOD,361,pyod
https://github.com/hctnm1/Learn-To-Use-Github,81,pyod
https://github.com/DingGuodong/LinuxBashShellScriptForOps,424,pyod
https://github.com/winstonll/COPOD,56,pyod
https://github.com/Matthewcoombs/Soju,0,pyod
https://github.com/ml-toolkits/mlflavors,8,pyod
https://github.com/villares/material-aulas,91,pyod
https://github.com/KulikDM/pythresh,109,pyod
https://github.com/Zerve-AI/pypelines,19,pyod
https://github.com/lionheart/django-pyodbc,201,pyod
https://github.com/garynmckinney/3DPrinter,37,pyod
https://github.com/nacheteam/Ensemble-Outlier-Analysis,2,pyod
https://github.com/bmwiedemann/openSUSE,31,pyod
https://github.com/chrysn/aiocoap,255,pyod
https://github.com/pycob/pyvibe,549,pyod
https://github.com/stfxecutables/empyricalRMT,9,pyod
https://github.com/Maddosaurus/MLT,3,pyod
https://github.com/skarra/PRS,14,pyod
https://github.com/thompson0012/PyEmits,5,pyod
https://github.com/varad0207/test-streamlit,1,pyod
https://github.com/squareRoot3/GADBench,40,pyod
https://github.com/slugiot/slugiot-server,11,pyod
https://github.com/laurianalandim/anomalydetetion,1,pyod
https://github.com/JohnOmernik/jupyter_pyodbc,0,pyod
https://github.com/jet-admin/jet-bridge,1496,pyod
https://github.com/marmni/FreeCAD-PCB,97,pyod
https://github.com/dyvenia/viadot,24,pyod
https://github.com/AugmentedDesignLab/junction-art,12,pyod
https://github.com/irontec/isaac,6,pyod
https://github.com/konumaru/konumaru.github.io,0,pyod
https://github.com/Azure/elenchus,7,pyod
https://github.com/MasayukiOzawa/SQLServer-Util,77,pyod
https://github.com/woodlee/sqlserver-cdc-to-kafka,19,pyod
https://github.com/OasisLMF/OpenDataTransform,8,pyod
https://github.com/nkhi/advent-of-code-2017,0,pyod
https://github.com/ZhangXinNan/IntelligentRiskControl,15,pyod
https://github.com/bangxiangyong/bae-anomaly-uncertainty,4,pyod
https://github.com/getodk/pyodk,22,pyod
https://github.com/Avaiga/taipy,2475,pyod
https://github.com/saphanaacademy/TextAnalysis_Search_Mining,6,pyod
https://github.com/DoesArt-Studios/RamBrowse,1,pyod
https://github.com/henryiii/histogram-tutorial,8,pyod
https://github.com/ym2011/POC-EXP,391,pyod
https://github.com/wahabhamoulhadj/jit-occ,0,pyod
https://github.com/alexott/databricks-playground,43,pyod
https://github.com/skelsec/pyodide-wsnetwork,7,pyod
https://github.com/MuuYesen/causal-inference-resource,7,pyod
https://github.com/skelsec/pypykatz_wasm,54,pyod
https://github.com/datalens-tech/datalens-backend,102,pyod
https://github.com/bjodah/pyodesys,90,pyod
https://github.com/mafudge/learn-databases,27,pyod
https://github.com/Distributive-Network/Bifrost,8,pyod
https://github.com/dodona-edu/papyros,14,pyod
https://github.com/pyodide/micropip,37,pyod
https://github.com/Apress/adv-analytics-in-power-bi-w-r-and-python,28,pyod
https://github.com/fernandojunior/financial-fraud-detection,11,pyod
https://github.com/snorfalorpagus/avl2qml,7,pyod
https://github.com/NRCan/CanFlood,25,pyod
https://github.com/ctr26/2019_cellesce_analysis,0,pyod
https://github.com/barrettotte/SQL-UNIT-POC,3,pyod
https://github.com/micrologai/microlog,11,pyod
https://github.com/InsightSoftwareConsortium/itk-wasm,169,pyod
https://github.com/bangxiangyong/bottleneck_ae,1,pyod
https://github.com/viannaandreBR/My-Data-Science-Journey,4,pyod
https://github.com/gestaogovbr/FastETL,45,pyod
https://github.com/ab-azmi/learn_fastapi,0,pyod
https://github.com/mdashkezari/opedia,9,pyod
https://github.com/intuit/thrive,10,pyod
https://github.com/IN21Dev/AutonomerRoboter,2,pyod
https://github.com/ArtemiusUA/tecdoc-converter,5,pyod
https://github.com/codonlibrary/codonPython,5,pyod
https://github.com/CCSI-Toolset/turb_sci_gate,1,pyod
https://github.com/kor0p/BeePy,3,pyod
https://github.com/josecastillolema/fiap,39,pyod
https://github.com/ClimateMind/climatemind-backend,14,pyod
https://github.com/villares/sketch-a-day,194,pyod
https://github.com/hbredin/pinocchIO,3,pyod
https://github.com/Ejhfast/code_extraction,4,pyod
https://github.com/alexmacniven/pyadt,0,pyod
https://github.com/davidADSP/findmyface2,4,pyod
https://github.com/nickmcintyre/proceso,10,pyod
https://github.com/umitceylan/Visualizr,0,pyod
https://github.com/TekPrateek/StyleRight-FRS,0,pyod
https://github.com/RR-Udacity/josh-udacizoo,0,pyod
https://github.com/iiaiac/DataScienceReference,4,pyod
https://github.com/rchateauneu/survol,8,pyod
https://github.com/jwcook23/mssql_dataframe,9,pyod
https://github.com/Pregaine/stock,14,pyod
https://github.com/openimis/database_postgresql,0,pyod
https://github.com/Gargooie/Basic_xml_parsing,0,pyod
https://github.com/larib-data/dwclib,1,pyod
https://github.com/apdn7/AnalysisPlatform,12,pyod
https://github.com/pyscript/examples,3,pyod
https://github.com/level12/webgrid,12,pyod
https://github.com/null-none/django-odbc,1,pyod
https://github.com/data-to-insight/patch,0,pyod
https://github.com/slbryson/Gauss-Py,0,pyod
https://github.com/Azure/app-service-linux-docs,121,pyod
https://github.com/crazyzlj/Python,14,pyod
https://github.com/kinredon/umt,77,pyod
https://github.com/chand95-stack/Asset-Management-System,0,pyod
https://github.com/fsantamaria1/ADP_API_Script,3,pyod
https://github.com/malovannaya-lab/gpgrouper,6,pyod
https://github.com/Qleoz12/pythonKnowledge,2,pyod
https://github.com/lifewatch/eurobis-qc,0,pyod
https://github.com/satyaibm/python_tutorial,0,pyod
https://github.com/DURGA555666/xl_to_database_usingpython,0,pyod
https://github.com/Inspq/ansible,3,pyod
https://github.com/lithomas1/platypi,2,pyod
https://github.com/HammadKhan999/University-Management-System-using-MySQL-and-Python,1,pyod
https://github.com/mohdop/Int-gration_donn-es,0,pyod
https://github.com/rodekruis/community-feedback-toolbox,0,pyod
https://github.com/juntyr/ipyfilite,0,pyod
https://github.com/fatmabetularslan/HalFiyatlari,0,pyod
https://github.com/Third-Quartile/FREDConnector,0,pyod
https://github.com/Dezota/DremioDSforRedash,11,pyod
https://github.com/UTHealthCHCD-TACC/uthealth-dw,4,pyod
https://github.com/thesea58/cmt-python-app-flask,0,pyod
https://github.com/sekilab/OpenDroneMapExercise,0,pyod
https://github.com/galaxy-team/website,3,pyod
https://github.com/skelsec/asyauth,11,pyod
https://github.com/avirsaha/theclassmatebot,1,pyod
https://github.com/saraiva142/Tarefa2-N2,0,pyod
https://github.com/JeffersGlass/hugo-site,2,pyod
https://github.com/rakeshrau/ML-and-DL,0,pyod
https://github.com/TarynScharf/AnalyZr,9,pyod
https://github.com/moaikids/datadog-mssql-monitor,5,pyod
https://github.com/zhoumengxiong/WorkOrderUploadQuery,0,pyod
https://github.com/ryfranklin/GlueLocalPlayground,0,pyod
https://github.com/zimolzak/ml-detect-diagnostic-safety,2,pyod
https://github.com/bhavan12/docrecom,0,pyod
https://github.com/tblanarik/WSDOTTrafficData,0,pyod
https://github.com/hdandekar/data-compare,0,pyod
https://github.com/ravin-d-27/Data_Archiving_and_Purging,1,pyod
https://github.com/splicemachine/splice_sqlalchemy,1,pyod
https://github.com/keremkoseoglu/databus,2,pyod
https://github.com/lucas234/learning-notes,0,pyod
https://github.com/Pyroarti/OPCUA-recept-hantering,0,pyod
https://github.com/bleach86/SHELTR,1,pyod
https://github.com/disasterpiece9000/Permutation,4,pyod
https://github.com/azure-day-organization/azureday-code-webApp,0,pyod
https://github.com/alexandersukono/demo_airflow_dags,0,pyod
https://github.com/harryliu/edwin,104,pyod
https://github.com/gabrielfougeron/choreo,3,pyod
https://github.com/controlm/self-conversion-api-community-solutions,0,pyod
https://github.com/Ch3shireDev/praca-inzynierska-open,0,pyod
https://github.com/RoboKafka/qt_warehouseapp,0,pyod
https://github.com/tahsin-github/Web-App-for-Customer-s-Feedbck-Analysis-using-Azure-Cognitive-Services,0,pyod
https://github.com/3strategy/TkinterGuiExample,0,pyod
https://github.com/JanKalo/KnowlyBERT,9,pyod
https://github.com/akossch0/adsdb,0,pyod
https://github.com/suncasa/eovsapy-obsolete,0,pyod
https://github.com/pjayathissa/algorithm-audit,2,pyod
https://github.com/CristianContrera95/fast-api,0,pyod
https://github.com/Chrouos/Intelligence-Closet,1,pyod
https://github.com/USEReady/WritebackApp,0,pyod
https://github.com/AriefNovandaZulvan/PythonTestBuku,0,pyod
https://github.com/twopercentdev/Weekly-Productivity-OCHIN-EPIC,0,pyod
https://github.com/RunLLM/aqueduct,514,pyod
https://github.com/jdrago999/lightning,0,pyod
https://github.com/czanalytics/czanalytics.github.io,0,pyod
https://github.com/cnstlungu/pd2mssql,1,pyod
https://github.com/reedu-reengineering-education/badgr-server,2,pyod
https://github.com/vreyes07/pricesConsistencyDataMigration,0,pyod
https://github.com/gustavodsf/py-wri-etl,0,pyod
https://github.com/pandaxia2000/programming,0,pyod
https://github.com/GabrielQuinmat/COVID_DASH,0,pyod
https://github.com/thismakessand/spatial_data_snippets,0,pyod
https://github.com/Greeengooo/data_sandwich,0,pyod
https://github.com/wjohnson/AzureDataFactory,0,pyod
https://github.com/instance-id/verifier,12,pyod
https://github.com/Zain-E/Robotic_Process_Automation,0,pyod
https://github.com/rubin55/scripts,0,pyod
https://github.com/Forcepoint/fp-bd-dlp-aws,0,pyod
https://github.com/austinschrader/Python_Parser,0,pyod
https://github.com/juniorkleber/TP_ES2,0,pyod
https://github.com/1040003585/WebScrapingWithPython,192,pyod
https://github.com/FrancisCardinal/RAVE,3,pyod
https://github.com/SANDAG/ABM-Reporting,0,pyod
https://github.com/SaraAbbaspour/SQLQueriesForEDW,0,pyod
https://github.com/deepin-community/numpy,0,pyod
https://github.com/rgommers/npy-staticlibs,0,pyod
https://github.com/zeycanaslan/backgroundEraser,0,pyod
https://github.com/newtechaudit/pyod,4,pyod
https://github.com/hctnm2/OpenSourceEnthusiast,52,pyod
https://github.com/hctnm2/Programming-Nerds,43,pyod
https://github.com/hctnm2/Beginners-Catalog,42,pyod
https://github.com/ss-o/devops,1,pyod
https://github.com/miniBloq/v0.83,82,pyod
https://github.com/carduswork/meidou,10,pyod
https://github.com/plaes/numpy,2,pyod
https://github.com/rec/echomesh,37,pyod
https://github.com/jadmoukaddam/EECE655_Project,1,pyod
https://github.com/gchehab/Apple_iBooks,12,pyod
https://github.com/AtomScott/Sportech-Sanity,11,pyod
https://github.com/smartadvising/smartadvising-api,1,pyod
https://github.com/kaichenkai/TornadoWebApp,3,pyod
https://github.com/luisg122/Newso,4,pyod
https://github.com/dani0303/HackingProject,0,pyod
https://github.com/RevanthTiruveedhi/CICDFlaskApp,0,pyod
https://github.com/abbyhu2000/Flask-App---Political-Leaning-Estimator,0,pyod
https://github.com/ShengXue97/youzu-flask,2,pyod
https://github.com/magweng/VueFastApiPostgres,1,pyod
https://github.com/magweng/FlaskPostgresDocker,0,pyod
https://github.com/Sonichigo/API,0,pyod
https://github.com/HeliZakay/My-Schedule,3,pyod
https://github.com/HunterWhyte/handlookup,0,pyod
https://github.com/ikocs/vk_photo_transfer,0,pyod
https://github.com/Delta-Glitch05/Space-Invaders,1,pyod
https://github.com/krintoxi/NoobSec-Toolkit,111,pyod
https://github.com/andresriancho/w3af-kali,24,pyod
https://github.com/dachidahu/scan_server,2,pyod
https://github.com/slimsevernake/w3af,0,pyod
https://github.com/121910306016-harsha/Srjrportal1,0,pyod
https://github.com/cs411-alawini/fa23-cs411-team042-411Go,2,pyod
https://github.com/ahmedatta3322/library,0,pyod
https://github.com/DanielBurkeDev/Blog-Assignment-flask-git,0,pyod
https://github.com/simonscmap/DBIngest,0,pyod
https://github.com/NHSDigital/codonPython,6,pyod
https://github.com/salmantec/python-file-upload-azure,1,pyod
https://github.com/pexip/os-sqlalchemy,0,pyod
https://github.com/already-repo/Azure-Samples-openai,0,pyod
https://github.com/Rafe2001/Custom-Chatbot---OpenAI,1,pyod
https://github.com/DanGatobu/Chatapp,0,pyod
https://github.com/asalt/gpgrouper,1,pyod
https://github.com/EnjoyLifeFund/macSierra-py36-pkgs,0,pyod
https://github.com/Mause/table_select_web,0,pyod
https://github.com/operepo/ope,12,pyod
https://github.com/redris96/LARA,19,pyod
https://github.com/ShySec/scrimmage-scoreboard,4,pyod
https://github.com/chipsandtea/Accent,3,pyod
https://github.com/vgaurav3011/100-Days-of-ML,22,pyod
https://github.com/ChezyName/HardcoreRhythmGame,2,pyod
https://github.com/cdhigh/KindleEar,2623,pyod
https://github.com/TimeEval/TimeEval-algorithms,85,pyod
https://github.com/oracle/oci-ansible-collection,151,pyod
https://github.com/dehooper/SIT719,0,pyod
https://github.com/leticiarobledo/honours-project,0,pyod
https://github.com/Gradiant/pyodi,175,pyod
https://github.com/pwnieexpress/raspberry_pwn,1005,pyod
https://github.com/ansible-collections/community.general,690,pyod
https://github.com/KarthikKothareddy/pyod,3,pyod
https://github.com/intersystems/quickstarts-python,4,pyod
