Filename,Mode,MatvR,MatvR_Percentage,RvSk,RvSk_Percentage,MatvSk,MatvSk_Percentage
CastMetal1,Default,51,0.1559633027522936,184,0.5626911314984709,161,0.4923547400611621
CastMetal1,Mod,271,0.8287461773700305,152,0.4648318042813456,179,0.5474006116207951
CostaMadre1,Default,265,0.8952702702702703,149,0.5033783783783784,158,0.5337837837837838
CostaMadre1,Mod,242,0.8175675675675675,175,0.5912162162162162,109,0.36824324324324326
KnuggetChase3,Default,173,0.8917525773195877,99,0.5103092783505154,96,0.4948453608247423
KnuggetChase3,Mod,149,0.7680412371134021,126,0.6494845360824743,69,0.3556701030927835
KungChi3,Default,111,0.9024390243902439,62,0.5040650406504065,57,0.4634146341463415
KungChi3,Mod,91,0.7398373983739838,41,0.3333333333333333,80,0.6504065040650406
MeanWhile1,Default,99,0.391304347826087,187,0.7391304347826086,130,0.5138339920948617
MeanWhile1,Mod,205,0.8102766798418972,179,0.7075098814229249,68,0.26877470355731226
MegaWatt1,Default,93,0.3675889328063241,187,0.7391304347826086,134,0.5296442687747036
MegaWatt1,Mod,199,0.7865612648221344,179,0.7075098814229249,82,0.3241106719367589
PieChart1,Default,588,0.8340425531914893,405,0.574468085106383,355,0.5035460992907801
PieChart1,Mod,596,0.8453900709219858,298,0.4226950354609929,398,0.5645390070921986
PieChart2,Default,362,0.48590604026845635,508,0.6818791946308724,374,0.5020134228187919
PieChart2,Mod,646,0.8671140939597315,384,0.5154362416107383,374,0.5020134228187919
PieChart3,Default,108,0.10027855153203342,539,0.500464252553389,533,0.4948932219127205
PieChart3,Mod,904,0.8393686165273909,515,0.47818012999071496,553,0.5134633240482822
PizzaCutter1,Default,462,0.6989409984871406,416,0.6293494704992436,322,0.48714069591527986
PizzaCutter1,Mod,549,0.8305597579425114,367,0.5552193645990923,290,0.43872919818456885
PizzaCutter3,Default,104,0.09971236816874401,522,0.5004793863854267,530,0.5081495685522531
PizzaCutter3,Mod,878,0.8418024928092043,571,0.5474592521572388,465,0.4458293384467881
analcatdata_apnea1,Default,270,0.5684210526315789,412,0.8673684210526316,216,0.45473684210526316
analcatdata_apnea1,Mod,447,0.9410526315789474,384,0.8084210526315789,93,0.1957894736842105
analcatdata_apnea2,Default,232,0.4884210526315789,412,0.8673684210526316,218,0.4589473684210526
analcatdata_apnea2,Mod,455,0.9578947368421052,390,0.8210526315789474,91,0.19157894736842104
analcatdata_apnea3,Default,262,0.5822222222222222,402,0.8933333333333333,180,0.4
analcatdata_apnea3,Mod,407,0.9044444444444445,376,0.8355555555555556,97,0.21555555555555556
analcatdata_challenger,Default,72,0.5217391304347826,84,0.6086956521739131,84,0.6086956521739131
analcatdata_challenger,Mod,90,0.6521739130434783,84,0.6086956521739131,66,0.4782608695652174
analcatdata_chlamydia,Default,58,0.58,94,0.94,42,0.42
analcatdata_chlamydia,Mod,86,0.86,70,0.7,30,0.3
analcatdata_lawsuit,Default,130,0.49242424242424243,246,0.9318181818181818,134,0.5075757575757576
analcatdata_lawsuit,Mod,160,0.6060606060606061,148,0.5606060606060606,120,0.45454545454545453
analcatdata_neavote,Default,48,0.48,89,0.89,49,0.49
analcatdata_neavote,Mod,52,0.52,51,0.51,49,0.49
annthyroid,Default,3491,0.48486111111111113,3567,0.49541666666666667,2880,0.4
annthyroid,Mod,6339,0.8804166666666666,6304,0.8755555555555555,129,0.017916666666666668
appendicitis,Default,47,0.44339622641509435,51,0.4811320754716981,40,0.37735849056603776
appendicitis,Mod,93,0.8773584905660378,90,0.8490566037735849,5,0.04716981132075472
ar1,Default,16,0.1322314049586777,66,0.5454545454545454,62,0.512396694214876
ar1,Mod,85,0.7024793388429752,62,0.512396694214876,55,0.45454545454545453
ar3,Default,13,0.20634920634920634,42,0.6666666666666666,33,0.5238095238095238
ar3,Mod,52,0.8253968253968254,41,0.6507936507936508,23,0.36507936507936506
ar4,Default,23,0.21495327102803738,69,0.6448598130841121,58,0.5420560747663551
ar4,Mod,87,0.8130841121495327,53,0.4953271028037383,54,0.5046728971962616
ar6,Default,22,0.21782178217821782,66,0.6534653465346535,56,0.5544554455445545
ar6,Mod,73,0.7227722772277227,52,0.5148514851485149,61,0.6039603960396039
arsenic-female-bladder,Default,56,0.1001788908765653,261,0.4669051878354204,271,0.4847942754919499
arsenic-female-bladder,Mod,349,0.6243291592128801,283,0.5062611806797853,304,0.5438282647584973
arsenic-female-lung,Default,56,0.1001788908765653,261,0.4669051878354204,267,0.4776386404293381
arsenic-female-lung,Mod,331,0.592128801431127,251,0.4490161001788909,336,0.6010733452593918
arsenic-male-bladder,Default,56,0.1001788908765653,296,0.5295169946332737,286,0.5116279069767442
arsenic-male-bladder,Mod,348,0.6225402504472272,197,0.35241502683363146,357,0.6386404293381037
arsenic-male-lung,Default,56,0.1001788908765653,296,0.5295169946332737,294,0.5259391771019678
arsenic-male-lung,Mod,354,0.6332737030411449,289,0.516994633273703,269,0.481216457960644
backache,Default,88,0.4888888888888889,102,0.5666666666666667,98,0.5444444444444444
backache,Mod,120,0.6666666666666666,100,0.5555555555555556,74,0.4111111111111111
breastw,Default,362,0.5300146412884333,533,0.780380673499268,299,0.4377745241581259
breastw,Mod,478,0.6998535871156661,562,0.8228404099560761,168,0.24597364568081992
cardio,Default,1041,0.5685417804478428,1223,0.6679410158383398,866,0.4729655925723648
cardio,Mod,1529,0.8350628072091754,1831,1.0,302,0.1649371927908247
climate-model-simulation-crashes,Default,272,0.5037037037037037,401,0.7425925925925926,271,0.5018518518518519
climate-model-simulation-crashes,Mod,309,0.5722222222222222,252,0.4666666666666667,283,0.524074074074074
datatrieve,Default,77,0.5923076923076923,107,0.823076923076923,60,0.46153846153846156
datatrieve,Mod,84,0.6461538461538462,92,0.7076923076923077,48,0.36923076923076925
fertility,Default,48,0.48,59,0.59,43,0.43
fertility,Mod,76,0.76,67,0.67,35,0.35
flare,Default,460,0.43151969981238275,549,0.5150093808630394,499,0.46810506566604126
flare,Mod,766,0.7185741088180112,1066,1.0,300,0.28142589118198874
glass,Default,89,0.4158878504672897,105,0.49065420560747663,86,0.40186915887850466
glass,Mod,191,0.8925233644859814,193,0.9018691588785047,20,0.09345794392523364
ionosphere,Default,228,0.6495726495726496,206,0.5868945868945868,146,0.41595441595441596
ionosphere,Mod,269,0.7663817663817664,336,0.9572649572649573,93,0.26495726495726496
kc3,Default,397,0.8668122270742358,250,0.5458515283842795,241,0.5262008733624454
kc3,Mod,351,0.7663755458515283,210,0.4585152838427948,245,0.5349344978165939
letter,Default,806,0.50375,1316,0.8225,806,0.50375
letter,Mod,1373,0.858125,1060,0.6625,593,0.370625
lungcancer_GSE31210,Default,113,0.5,122,0.5398230088495575,113,0.5
lungcancer_GSE31210,Mod,175,0.7743362831858407,226,1.0,51,0.22566371681415928
lympho,Default,85,0.5743243243243243,74,0.5,73,0.49324324324324326
lympho,Mod,86,0.581081081081081,124,0.8378378378378378,68,0.4594594594594595
mw1,Default,232,0.575682382133995,293,0.7270471464019851,207,0.5136476426799007
mw1,Mod,330,0.8188585607940446,179,0.4441687344913151,227,0.5632754342431762
optdigits,Default,2230,0.42753067484662577,2607,0.49980828220858897,2633,0.504792944785276
optdigits,Mod,2403,0.4606978527607362,5216,1.0,2813,0.5393021472392638
pc1,Default,111,0.10009017132551848,554,0.4995491433724076,555,0.5004508566275925
pc1,Mod,917,0.8268710550045085,401,0.36158701532912535,690,0.6221821460775473
pima,Default,390,0.5078125,555,0.72265625,385,0.5013020833333334
pima,Mod,602,0.7838541666666666,497,0.6471354166666666,277,0.3606770833333333
satellite,Default,3226,0.5013209013209013,5129,0.797047397047397,3205,0.49805749805749805
satellite,Mod,4752,0.7384615384615385,2819,0.43807303807303805,3549,0.5515151515151515
satimage-2,Default,2861,0.49302085128381873,4361,0.7515078407720145,2940,0.5066344993968637
satimage-2,Mod,5237,0.9024642426331208,2384,0.4108219886265725,3501,0.6033086334654489
thoracic_surgery,Default,242,0.5148936170212766,285,0.6063829787234043,227,0.4829787234042553
thoracic_surgery,Mod,338,0.7191489361702128,251,0.5340425531914894,217,0.46170212765957447
thyroid,Default,1655,0.4387592788971368,1876,0.4973488865323436,1507,0.3995227995758218
thyroid,Mod,3520,0.9331919406150583,3479,0.922322375397667,65,0.0172322375397667
vertebral,Default,121,0.5041666666666667,203,0.8458333333333333,122,0.5083333333333333
vertebral,Mod,200,0.8333333333333334,120,0.5,124,0.5166666666666667
visualizing_livestock,Default,65,0.5,107,0.823076923076923,66,0.5076923076923077
visualizing_livestock,Mod,82,0.6307692307692307,85,0.6538461538461539,51,0.3923076923076923
vowels,Default,647,0.44436813186813184,726,0.49862637362637363,685,0.47046703296703296
vowels,Mod,1225,0.8413461538461539,1456,1.0,231,0.15865384615384615
wbc,Default,162,0.42857142857142855,177,0.46825396825396826,149,0.3941798941798942
wbc,Mod,351,0.9285714285714286,347,0.917989417989418,22,0.0582010582010582
wine,Default,65,0.5038759689922481,74,0.5736434108527132,59,0.4573643410852713
wine,Mod,100,0.7751937984496124,50,0.3875968992248062,74,0.5736434108527132
