Filename,Mode,AvgFlippedPerRunPercentage,,,,,,,,,,,,,,,,,,
CastMetal1,Default,0.012916433,,,,,,,,,,,,,,,,,,
CastMetal1,Optimal,0.002790988,,,,,,,,,,,,,,,,,,
CastMetal1,Fast,0.048235661,,,,,,,,,,,,,,,,,,
CostaMadre1,Default,0.017032543,,,,,,,,,,,,,,,,,,
CostaMadre1,Optimal,0.009379482,,,,,,,,,,,,,,,,,,
CostaMadre1,Fast,0.046723662,,,,,,,,,,,,,,,,,,
KnuggetChase3,Default,0.021350726,,,,,,,,,,,,,,,,,,
KnuggetChase3,Optimal,0.009257311,,,,,,,,,,,,,,,,,,
KnuggetChase3,Fast,0.061253945,,,,,,,,,,,,,,,,,,
KungChi3,Default,0.025750788,,,,,,,,,,,,,,,,,,
KungChi3,Optimal,0.010313589,,,,,,,,,,,,,,,,,,
KungChi3,Fast,0.059054256,,,,,,,,,,,,,,,,,,
MeanWhile1,Default,0.021340647,,,,,,,,,,,,,,,,,,
MeanWhile1,Optimal,0.023205614,,,,,,,,,,,,,,,,,,
MeanWhile1,Fast,0.0537743,,,,,,,,,,,,,,,,,,
MegaWatt1,Default,0.021624587,,,,,,,,,,,,,,,,,,
MegaWatt1,Optimal,0.023273373,,,,,,,,,,,,,,,,,,
MegaWatt1,Fast,0.053416149,,,,,,,,,,,,,,,,,,
PieChart1,Default,0.016144739,,,,,,,,,,,,,,,,,,
PieChart1,Optimal,0.005713128,,,,,,,,,,,,,,,,,,
PieChart1,Fast,0.035471414,,,,,,,,,,,,,,,,,,
PieChart2,Default,0.012232845,,,,,,,,,,,,,,,,,,
PieChart2,Optimal,0.002625394,,,,,,,,,,,,,,,,,,
PieChart2,Fast,0.03560389,,,,,,,,,,,,,,,,,,
PieChart3,Default,0.012272943,,,,,,,,,,,,,,,,,,
PieChart3,Optimal,0.006819396,,,,,,,,,,,,,,,,,,
PieChart3,Fast,0.033274591,,,,,,,,,,,,,,,,,,
PizzaCutter1,Default,0.015783136,,,,,,,,,,,,,,,,,,
PizzaCutter1,Optimal,0.003740776,,,,,,,,,,,,,,,,,,
PizzaCutter1,Fast,0.038087005,,,,,,,,,,,,,,,,,,
PizzaCutter3,Default,0.012714501,,,,,,,,,,,,,,,,,,
PizzaCutter3,Optimal,0.013712407,,,,,,,,,,,,,,,,,,
PizzaCutter3,Fast,0.031295126,,,,,,,,,,,,,,,,,,
analcatdata_apnea1,Default,0.045882707,,,,,,,,,,,,,,,,,,
analcatdata_apnea1,Optimal,0.000249194,,,,,,,,,,,,,,,,,,
analcatdata_apnea1,Fast,0.087785177,,,,,,,,,,,,,,,,,,
analcatdata_apnea2,Default,0.046088937,,,,,,,,,,,,,,,,,,
analcatdata_apnea2,Optimal,0,,,,,,,,,,,,,,,,,,
analcatdata_apnea2,Fast,0.080749302,,,,,,,,,,,,,,,,,,
analcatdata_apnea3,Default,0.046530612,,,,,,,,,,,,,,,,,,
analcatdata_apnea3,Optimal,0,,,,,,,,,,,,,,,,,,
analcatdata_apnea3,Fast,0.081492971,,,,,,,,,,,,,,,,,,
analcatdata_challenger,Default,0,,,,,,,,,,,,,,,,,,
analcatdata_challenger,Optimal,0,,,,,,,,,,,,,,,,,,
analcatdata_challenger,Fast,0.014835847,,,,,,,,,,,,,,,,,,
analcatdata_chlamydia,Default,0.017453061,,,,,,,,,,,,,,,,,,
analcatdata_chlamydia,Optimal,0.0004,,,,,,,,,,,,,,,,,,
analcatdata_chlamydia,Fast,0.01995102,,,,,,,,,,,,,,,,,,
analcatdata_lawsuit,Default,0.045052566,,,,,,,,,,,,,,,,,,
analcatdata_lawsuit,Optimal,0.016805813,,,,,,,,,,,,,,,,,,
analcatdata_lawsuit,Fast,0.07974026,,,,,,,,,,,,,,,,,,
analcatdata_neavote,Default,0.062171429,,,,,,,,,,,,,,,,,,
analcatdata_neavote,Optimal,0.089877551,,,,,,,,,,,,,,,,,,
analcatdata_neavote,Fast,0.129461224,,,,,,,,,,,,,,,,,,
annthyroid,Default,0.019063039,,,,,,,,,,,,,,,,,,
annthyroid,Optimal,0.005290816,,,,,,,,,,,,,,,,,,
annthyroid,Fast,0.055968594,,,,,,,,,,,,,,,,,,
appendicitis,Default,0.045960724,,,,,,,,,,,,,,,,,,
appendicitis,Optimal,0.01715826,,,,,,,,,,,,,,,,,,
appendicitis,Fast,0.06490566,,,,,,,,,,,,,,,,,,
ar1,Default,0.03379322,,,,,,,,,,,,,,,,,,
ar1,Optimal,0.032970147,,,,,,,,,,,,,,,,,,
ar1,Fast,0.047009614,,,,,,,,,,,,,,,,,,
ar3,Default,0.023051506,,,,,,,,,,,,,,,,,,
ar3,Optimal,0.019060577,,,,,,,,,,,,,,,,,,
ar3,Fast,0.025085844,,,,,,,,,,,,,,,,,,
ar4,Default,0.014335304,,,,,,,,,,,,,,,,,,
ar4,Optimal,0.010123975,,,,,,,,,,,,,,,,,,
ar4,Fast,0.025145909,,,,,,,,,,,,,,,,,,
ar6,Default,0.020351586,,,,,,,,,,,,,,,,,,
ar6,Optimal,0.018339058,,,,,,,,,,,,,,,,,,
ar6,Fast,0.042012528,,,,,,,,,,,,,,,,,,
arsenic-female-bladder,Default,0.076635391,,,,,,,,,,,,,,,,,,
arsenic-female-bladder,Optimal,0.033371545,,,,,,,,,,,,,,,,,,
arsenic-female-bladder,Fast,0.130518784,,,,,climate-model-simulation-crashes,Default,0.158229781,,,,,,,,,,,
arsenic-female-lung,Default,0.074741338,,,,,climate-model-simulation-crashes,Optimal,0.025085412,,,,,,,,,,,
arsenic-female-lung,Optimal,0.035140009,,,,,climate-model-simulation-crashes,Fast,0.177809524,,,,,,,,,,,
arsenic-female-lung,Fast,0.126202037,,,,,,,,,,,,,,,,,,
arsenic-male-bladder,Default,0.067073126,,,,,visualizing_livestock,Default,0.137676609,,,,,,,,,,,
arsenic-male-bladder,Optimal,0.032172611,,,,,visualizing_livestock,Optimal,0,,,,,,,,,,,
arsenic-male-bladder,Fast,0.132796904,,,,,visualizing_livestock,Fast,0.138618524,,,,,,,,,,,
arsenic-male-lung,Default,0.070428973,,,,,,,,,,,,,,,,,,
arsenic-male-lung,Optimal,0.031827973,,,,,,,,,,,,,,,,,,
arsenic-male-lung,Fast,0.120714103,,,,,optdigits,Default,0.096846594,,,,,,,,,,,
backache,Default,0.040861678,,,,,optdigits,Optimal,0.015633216,,,,,,,,,,,
backache,Optimal,0.019514739,,,,,optdigits,Fast,0.22009672,,,,,,,,,,,
backache,Fast,0.076049887,,,,,,,,,,,,,,,,,,
breastw,Default,0.010912242,,,,,,,,,,,,,,,,,,
breastw,Optimal,0.0042394,,,,,lympho,Default,0.077904026,,,,,,,,,,,
breastw,Fast,0.017751218,,,,,lympho,Optimal,0.016321015,,,,,,,,,,,
cardio,Default,0.036302233,,,,,lympho,Fast,0.153006067,,,,,,,,,,,
cardio,Optimal,0.019080462,,,,,,,,,,,,,,,,,,
cardio,Fast,0.087348276,,,,,,,,,,,,,,,,,,
climate-model-simulation-crashes,Default,0.158229781,,,,,,,,,,,,,,,,,,
climate-model-simulation-crashes,Optimal,0.025085412,,,,,,,,,,,,,,,,,,
climate-model-simulation-crashes,Fast,0.177809524,,,,,arsenic-female-bladder,Default,0.076635391,,,,,,,,,,,
datatrieve,Default,0.023196232,,,,,arsenic-female-bladder,Optimal,0.033371545,,,,,,,,,,,
datatrieve,Optimal,0.008125589,,,,,arsenic-female-bladder,Fast,0.130518784,,,,,,,,,,,
datatrieve,Fast,0.035428571,,,,,,,,,,,,,,,,,,
fertility,Default,0.071771429,,,,,,,,,,,,,,,,,,
fertility,Optimal,0.035404082,,,,,,,,,,,,,,,,,,
fertility,Fast,0.109102041,,,,,,,,,,,,,,,,,,
flare,Default,0.035246008,,,,,,,,,,,,,,,,,,
flare,Optimal,0.034950415,,,,,,,,,,,,,,,,,,
flare,Fast,0.078938622,,,,,climate-model-simulation-crashes,&,15.8,&,2.5,\\,,,climate-model-simulation-crashes,&,15.8,&,17.8,\\
glass,Default,0.015189777,,,,,visualizing_livestock,&,13.8,&,0,\\,,,visualizing_livestock,&,13.8,&,13.9,\\
glass,Optimal,0.015628457,,,,,optdigits,&,9.7,&,1.5,\\,,,optdigits,&,9.7,&,22,\\
glass,Fast,0.064032043,,,,,lympho,&,7.8,&,1.6,\\,,,lympho,&,7.8,&,15.3,\\
ionosphere,Default,0.037381243,,,,,arsenic-female-bladder,&,7.7,&,3.3,\\,,,arsenic-female-bladder,&,7.7,&,13.1,\\
ionosphere,Optimal,0.011461131,,,,,,,,,,,,,,,,,,
ionosphere,Fast,0.069278446,,,,,,,,,,,,,,,,,,
kc3,Default,0.021090812,,,,,,,,,,,,,,,,,,
kc3,Optimal,0.021700383,,,,,,,,,,,,,,,,,,
kc3,Fast,0.042769807,,,,,,,,,,,,,,,,,,
letter,Default,0.048403061,,,,,,,,,,,,,,,,,,
letter,Optimal,0.011818878,,,,,,,,,,,,,,,,,,
letter,Fast,0.164477041,,,,,,,,,,,,,,,,,,
lungcancer_GSE31210,Default,0.030164349,,,,,,,,,,,,,,,,,,
lungcancer_GSE31210,Optimal,0.031121546,,,,,,,,,,,,,,,,,,
lungcancer_GSE31210,Fast,0.067639516,,,,,,,,,,,,,,,,,,
lympho,Default,0.077904026,,,,,,,,,,,,,,,,,,
lympho,Optimal,0.016321015,,,,,,,,,,,,,,,,,,
lympho,Fast,0.153006067,,,,,,,,,,,,,,,,,,
mw1,Default,0.02497392,,,,,,,,,,,,,,,,,,
mw1,Optimal,0.030469438,,,,,,,,,,,,,,,,,,
mw1,Fast,0.047016762,,,,,,,,,,,,,,,,,,
optdigits,Default,0.096846594,,,,,,,,,,,,,,,,,,
optdigits,Optimal,0.015633216,,,,,,,,,,,,,,,,,,
optdigits,Fast,0.22009672,,,,,,,,,,,,,,,,,,
pc1,Default,0.010057231,,,,,,,,,,,,,,,,,,
pc1,Optimal,0.003023868,,,,,,,,,,,,,,,,,,
pc1,Fast,0.027919987,,,,,,,,,,,,,,,,,,
pima,Default,0.041016156,,,,,,,,,,,,,,,,,,
pima,Optimal,0.018965774,,,,,,,,,,,,,,,,,,
pima,Fast,0.100045706,,,,,,,,,,,,,,,,,,
satellite,Default,0.025608423,,,,,,,,,,,,,,,,,,
satellite,Optimal,0.011702203,,,,,,,,,,,,,,,,,,
satellite,Fast,0.086357325,,,,,,,,,,,,,,,,,,
satimage-2,Default,0.029863653,,,,,,,,,,,,,,,,,,
satimage-2,Optimal,0.004245658,,,,,,,,,,,,,,,,,,
satimage-2,Fast,0.121962532,,,,,,,,,,,,,,,,,,
thoracic_surgery,Default,0.037023013,,,,,,,,,,,,,,,,,,
thoracic_surgery,Optimal,0.015867998,,,,,,,,,,,,,,,,,,
thoracic_surgery,Fast,0.083032566,,,,,,,,,,,,,,,,,,
thyroid,Default,0.018193997,,,,,,,,,,,,,,,,,,
thyroid,Optimal,0.006604627,,,,,,,,,,,,,,,,,,
thyroid,Fast,0.051874391,,,,,,,,,,,,,,,,,,
vertebral,Default,0.026731293,,,,,,,,,,,,,,,,,,
vertebral,Optimal,0.011785714,,,,,,,,,,,,,,,,,,
vertebral,Fast,0.093653061,,,,,,,,,,,,,,,,,,
visualizing_livestock,Default,0.137676609,,,,,,,,,,,,,,,,,,
visualizing_livestock,Optimal,0,,,,,,,,,,,,,,,,,,
visualizing_livestock,Fast,0.138618524,,,,,,,,,,,,,,,,,,
vowels,Default,0.059200493,,,,,,,,,,,,,,,,,,
vowels,Optimal,0.010290424,,,,,,,,,,,,,,,,,,
vowels,Fast,0.172380018,,,,,,,,,,,,,,,,,,
wbc,Default,0.014933592,,,,,,,,,,,,,,,,,,
wbc,Optimal,0.015283447,,,,,,,,,,,,,,,,,,
wbc,Fast,0.051044164,,,,,,,,,,,,,,,,,,
wine,Default,0.048321468,,,,,,,,,,,,,,,,,,
wine,Optimal,0.019889258,,,,,,,,,,,,,,,,,,
wine,Fast,0.110096504,,,,,,,,,,,,,,,,,,