Filename,Mode,MatvR_Min,MatvR_Max,RvSk_Min,RvSk_Max,MatvSk_Min,MatvSk_Max,Row,Column,,
CastMetal1,Default,0.018348624,0.03058104,0.012232416,0.04587156,0,0.039755352,327,37,-0.008048549,-0.320419023
CastMetal1,Mod,0.018348624,0.024464832,0.01529052,0.03058104,0,0.01529052,327,37,,
CostaMadre1,Default,0.016891892,0.030405405,0.006756757,0.047297297,0.003378378,0.043918919,296,37,-0.123954139,-0.452254965
CostaMadre1,Mod,0.023648649,0.030405405,0.010135135,0.040540541,0,0.033783784,296,37,,
KnuggetChase3,Default,0,0.030927835,0.010309278,0.051546392,0,0.06185567,194,39,-0.193492709,-0.470341919
KnuggetChase3,Mod,0.010309278,0.025773196,0.015463918,0.041237113,0.005154639,0.036082474,194,39,,
KungChi3,Default,0,0.040650407,0.016260163,0.073170732,0,0.081300813,123,39,,
KungChi3,Mod,0.032520325,0.056910569,0.016260163,0.040650407,0,0.040650407,123,39,,
MeanWhile1,Default,0.011857708,0.04743083,0.007905138,0.051383399,0.003952569,0.067193676,253,37,,
MeanWhile1,Mod,0.019762846,0.031620553,0.007905138,0.031620553,0,0.039525692,253,37,,
MegaWatt1,Default,0.011857708,0.031620553,0.011857708,0.04743083,0,0.059288538,253,37,,
MegaWatt1,Mod,0.023715415,0.031620553,0.011857708,0.035573123,0,0.043478261,253,37,,
PieChart1,Default,0.053900709,0.059574468,0.034042553,0.066666667,0.002836879,0.028368794,705,37,,
PieChart1,Mod,0.04822695,0.05248227,0.041134752,0.062411348,0.00141844,0.015602837,705,37,,
PieChart2,Default,0.061744966,0.06442953,0.034899329,0.056375839,0.008053691,0.034899329,745,36,,
PieChart2,Mod,0.040268456,0.04295302,0.033557047,0.046979866,0,0.014765101,745,36,,
PieChart3,Default,0.061281337,0.064995357,0.034354689,0.065923863,0.008356546,0.028783658,1077,37,,
PieChart3,Mod,0.048282266,0.051067781,0.042711235,0.056638812,0,0.014856082,1077,37,,
PizzaCutter1,Default,0.049924357,0.052950076,0.030257186,0.060514372,0.003025719,0.027231467,661,37,,
PizzaCutter1,Mod,0.046898638,0.049924357,0.036308623,0.055975794,0.001512859,0.018154312,661,37,,
PizzaCutter3,Default,0.057526366,0.063279003,0.033557047,0.059443912,0.005752637,0.028763183,1043,37,,
PizzaCutter3,Mod,0.042186002,0.046979866,0.037392138,0.050814957,0.000958773,0.014381592,1043,37,,
analcatdata_apnea1,Default,0.016842105,0.044210526,0.783157895,0.882105263,0.808421053,0.903157895,475,3,,
analcatdata_apnea1,Mod,0.077894737,0.088421053,0.816842105,0.877894737,0.903157895,0.957894737,475,3,,
analcatdata_apnea2,Default,0.016842105,0.044210526,0.764210526,0.88,0.787368421,0.901052632,475,3,,
analcatdata_apnea2,Mod,0.101052632,0.107368421,0.831578947,0.875789474,0.938947368,0.976842105,475,3,,
analcatdata_apnea3,Default,0.015555556,0.046666667,0.768888889,0.88,0.793333333,0.897777778,450,3,,
analcatdata_apnea3,Mod,0.086666667,0.097777778,0.82,0.875555556,0.915555556,0.964444444,450,3,,
analcatdata_challenger,Default,0.52173913,0.608695652,0,0.043478261,0.565217391,0.608695652,138,2,,
analcatdata_challenger,Mod,0.260869565,0.347826087,0,0.043478261,0.304347826,0.347826087,138,2,,
analcatdata_chlamydia,Default,0.13,0.18,0.7,0.77,0.86,0.92,100,3,,
analcatdata_chlamydia,Mod,0.23,0.26,0.74,0.77,1,1,100,3,,
analcatdata_lawsuit,Default,0.075757576,0.098484848,0.09469697,0.159090909,0.170454545,0.238636364,264,4,,
analcatdata_lawsuit,Mod,0.117424242,0.128787879,0.109848485,0.15530303,0.011363636,0.049242424,264,4,,
analcatdata_neavote,Default,0.19,0.2,0.05,0.17,0.22,0.37,100,3,,
analcatdata_neavote,Mod,0.12,0.13,0.09,0.13,0,0.1,100,3,,
annthyroid,Default,0.080694444,0.083194444,0.06,0.087083333,0.011944444,0.031666667,7200,6,,
annthyroid,Mod,0.070555556,0.071944444,0.064722222,0.076666667,0.004305556,0.013888889,7200,6,,
appendicitis,Default,0.066037736,0.08490566,0.037735849,0.113207547,0.094339623,0.179245283,106,7,,
appendicitis,Mod,0.047169811,0.066037736,0.028301887,0.08490566,0,0.08490566,106,7,,
ar1,Default,0.049586777,0.090909091,0,0.05785124,0.016528926,0.107438017,121,29,,
ar1,Mod,0.016528926,0.05785124,0,0.049586777,0,0.066115702,121,29,,
ar3,Default,0.031746032,0.063492063,0,0.047619048,0.031746032,0.095238095,63,29,,
ar3,Mod,0,0.031746032,0,0.047619048,0,0.063492063,63,29,,
ar4,Default,0,0.046728972,0,0.046728972,0,0.056074766,107,29,,
ar4,Mod,0,0.028037383,0,0.028037383,0,0.028037383,107,29,,
ar6,Default,0.01980198,0.059405941,0.00990099,0.059405941,0.01980198,0.089108911,101,29,,
ar6,Mod,0.00990099,0.03960396,0.00990099,0.03960396,0,0.03960396,101,29,,
arsenic-female-bladder,Default,0.033989267,0.037567084,0.15921288,0.266547406,0.121645796,0.23255814,559,4,,
arsenic-female-bladder,Mod,0.168157424,0.171735242,0.166368515,0.225402504,0.016100179,0.082289803,559,4,,
arsenic-female-lung,Default,0.035778175,0.037567084,0.14490161,0.271914132,0.107334526,0.236135957,559,4,,
arsenic-female-lung,Mod,0.202146691,0.205724508,0.168157424,0.218246869,0.012522361,0.069767442,559,4,,
arsenic-male-bladder,Default,0.030411449,0.04293381,0.150268336,0.27549195,0.114490161,0.239713775,559,4,,
arsenic-male-bladder,Mod,0.193202147,0.202146691,0.161001789,0.218246869,0.012522361,0.075134168,559,4,,
arsenic-male-lung,Default,0.033989267,0.041144902,0.139534884,0.271914132,0.103756708,0.23255814,559,4,,
arsenic-male-lung,Mod,0.193202147,0.202146691,0.168157424,0.221824687,0.012522361,0.062611807,559,4,,
backache,Default,0.016666667,0.055555556,0.077777778,0.138888889,0.061111111,0.122222222,180,31,,
backache,Mod,0.088888889,0.1,0.094444444,0.127777778,0,0.05,180,31,,
breastw,Default,0.046852123,0.067349927,0.213762811,0.24011713,0.267935578,0.289897511,683,9,,
breastw,Mod,0.221083455,0.229868228,0.219619327,0.237188873,0.002928258,0.032210835,683,9,,
cardio,Default,0.070999454,0.075368651,0.050791917,0.091206991,0.019661387,0.056799563,1831,21,,
cardio,Mod,0.069907155,0.072091753,0.054614965,0.083560896,0.008192245,0.033315128,1831,21,,
climate-model-simulation-crashes,Default,0.088888889,0.1,0.627777778,0.824074074,0.531481481,0.733333333,540,21,,
climate-model-simulation-crashes,Mod,0.27037037,0.275925926,0.694444444,0.788888889,0.42037037,0.516666667,540,21,,
datatrieve,Default,0.038461538,0.046153846,0.046153846,0.107692308,0.084615385,0.146153846,130,8,,
datatrieve,Mod,0.069230769,0.076923077,0.053846154,0.1,0,0.038461538,130,8,,
fertility,Default,0.05,0.11,0.29,0.44,0.37,0.5,100,9,,
fertility,Mod,0.28,0.32,0.31,0.43,0.04,0.13,100,9,,
flare,Default,0.026266417,0.055347092,0.227954972,0.301125704,0.25891182,0.332082552,1066,10,,
flare,Mod,0.242964353,0.271106942,0.244840525,0.290806754,0.01782364,0.07879925,1066,10,,
glass,Default,0,0.023364486,0,0.028037383,0,0.03271028,214,9,,
glass,Mod,0.004672897,0.014018692,0,0.023364486,0,0.023364486,214,9,,
ionosphere,Default,0.054131054,0.065527066,0.094017094,0.153846154,0.150997151,0.213675214,351,33,,
ionosphere,Mod,0.102564103,0.108262108,0.094017094,0.125356125,0.002849003,0.048433048,351,33,,
kc3,Default,0.015283843,0.03930131,0.021834061,0.074235808,0.010917031,0.074235808,458,39,,
kc3,Mod,0.048034934,0.056768559,0.034934498,0.058951965,0.002183406,0.034934498,458,39,,
letter,Default,0.083125,0.090625,0.03375,0.088125,0.038125,0.0725,1600,32,,
letter,Mod,0.055625,0.060625,0.0425,0.071875,0.010625,0.0325,1600,32,,
lungcancer_GSE31210,Default,0.026548673,0.044247788,0.022123894,0.057522124,0,0.061946903,226,23,,
lungcancer_GSE31210,Mod,0.030973451,0.039823009,0.022123894,0.057522124,0,0.048672566,226,23,,
lympho,Default,0.02027027,0.047297297,0.175675676,0.337837838,0.209459459,0.364864865,148,18,,
lympho,Mod,0.22972973,0.25,0.216216216,0.310810811,0,0.101351351,148,18,,
mw1,Default,0.029776675,0.042183623,0.024813896,0.071960298,0.004962779,0.05955335,403,37,,
mw1,Mod,0.037220844,0.042183623,0.024813896,0.05955335,0.004962779,0.037220844,403,37,,
optdigits,Default,0.095092025,0.098542945,0.171203988,0.273389571,0.085314417,0.188458589,5216,64,,
optdigits,Mod,0.226610429,0.228911043,0.174654908,0.226610429,0.037193252,0.067292945,5216,64,,
pc1,Default,0.064021641,0.067628494,0.050495942,0.079350766,0.001803427,0.019837692,1109,21,,
pc1,Mod,0.066726781,0.070333634,0.057709648,0.069431921,0.001803427,0.013525699,1109,21,,
pima,Default,0.044270833,0.05859375,0.049479167,0.12109375,0.018229167,0.087239583,768,8,,
pima,Mod,0.080729167,0.087239583,0.067708333,0.09375,0.005208333,0.0390625,768,8,,
satellite,Default,0.063714064,0.075990676,0.114996115,0.146697747,0.051126651,0.082206682,6435,36,,
satellite,Mod,0.13006993,0.132867133,0.118570319,0.132711733,0.007925408,0.020668221,6435,36,,
satimage-2,Default,0.069791487,0.072204032,0.052386697,0.095812511,0.021540582,0.051525073,5803,36,,
satimage-2,Mod,0.07358263,0.074961227,0.058762709,0.076339824,0.011545752,0.03032914,5803,36,,
spambase,Default,0.098456857,0.099760922,0.003477505,0.00804173,0.090632471,0.096283417,4601,57,,
spambase,Mod,0.004781569,0.005216257,0.004346881,0.006085634,0,0.001956097,4601,57,,
thoracic_surgery,Default,0.05106383,0.076595745,0.087234043,0.138297872,0.036170213,0.085106383,470,17,,
thoracic_surgery,Mod,0.104255319,0.119148936,0.091489362,0.121276596,0.00212766,0.036170213,470,17,,
thyroid,Default,0.071845175,0.074231177,0.056468717,0.083510074,0.010074231,0.029162248,3772,6,,
thyroid,Mod,0.069194062,0.071314952,0.06097561,0.072640509,0.004506893,0.014581124,3772,6,,
vertebral,Default,0.008333333,0.0375,0.004166667,0.041666667,0.004166667,0.054166667,240,6,,
vertebral,Mod,0.004166667,0.025,0.004166667,0.025,0,0.033333333,240,6,,
visualizing_livestock,Default,0.161538462,0.184615385,0.407692308,0.7,0.584615385,0.869230769,130,2,,
visualizing_livestock,Mod,0.046153846,0.076923077,0.446153846,0.615384615,0.507692308,0.669230769,130,2,,
vowels,Default,0.066620879,0.07760989,0.042582418,0.096840659,0.032967033,0.078983516,1456,12,,
vowels,Mod,0.074862637,0.080357143,0.048076923,0.087912088,0.016483516,0.043956044,1456,12,,
wbc,Default,0.018518519,0.031746032,0.002645503,0.031746032,0.005291005,0.03968254,378,30,,
wbc,Mod,0.015873016,0.021164021,0.005291005,0.023809524,0.002645503,0.015873016,378,30,,
wine,Default,0.007751938,0.054263566,0.007751938,0.07751938,0.007751938,0.100775194,129,13,,
wine,Mod,0.023255814,0.046511628,0,0.069767442,0,0.062015504,129,13,,